,8007_5179,9407_8093
all,"{'latitude': {'mean_p1': 28.734931168945391, 'mean_p2': 28.485580239692002, 'std_p1': 0.065888576487062075, 'std_p2': 0.063936410769459343, 'diff_p2p1': -0.24935092925338864, 'pval': 0.0028997100289971001}, 'intensity': {'mean_p1': 23.281236456625631, 'mean_p2': 23.644456284848193, 'std_p1': 0.15639518704792071, 'std_p2': 0.16112618887096222, 'diff_p2p1': 0.3632198282225616, 'pval': 0.94680531946805324}, 'frequency': {'mean_p1': 0.3863013698630137, 'mean_p2': 0.38140900195694716, 'std_p1': 0.006692837301125958, 'std_p2': 0.006794958635182846, 'diff_p2p1': -0.004892367906066564, 'pval': 0.30399081929180527}}","{'latitude': {'mean_p1': 28.567487179460795, 'mean_p2': 28.403905002723132, 'std_p1': 0.091563446093747516, 'std_p2': 0.088877167720397596, 'diff_p2p1': -0.16358217673766262, 'pval': 0.10018998100189981}, 'intensity': {'mean_p1': 23.3069585533955, 'mean_p2': 23.980999284387298, 'std_p1': 0.21850881859102808, 'std_p2': 0.24086134063377537, 'diff_p2p1': 0.6740407309917984, 'pval': 0.98440155984401556}, 'frequency': {'mean_p1': 0.3810176125244618, 'mean_p2': 0.3818003913894325, 'std_p1': 0.009607628888816099, 'std_p2': 0.009611409815404353, 'diff_p2p1': 0.0007827788649706902, 'pval': 0.52296637177227634}}"
fall,"{'latitude': {'mean_p1': 29.098469183141315, 'mean_p2': 29.332006281137026, 'std_p1': 0.20737461617277092, 'std_p2': 0.19723468550547618, 'diff_p2p1': 0.23353709799571121, 'pval': 0.79212078792120788}, 'intensity': {'mean_p1': 20.259381501005958, 'mean_p2': 21.012755444099678, 'std_p1': 0.46466628401548488, 'std_p2': 0.51961010446343769, 'diff_p2p1': 0.7533739430937203, 'pval': 0.85811418858114186}, 'frequency': {'mean_p1': 0.260454878943507, 'mean_p2': 0.2743161094224924, 'std_p1': 0.01681185581464896, 'std_p2': 0.017393478738738657, 'diff_p2p1': 0.013861230478985409, 'pval': 0.71668012898943434}}","{'latitude': {'mean_p1': 28.96918807594156, 'mean_p2': 29.712668004620792, 'std_p1': 0.2585000663970406, 'std_p2': 0.2915637323915406, 'diff_p2p1': 0.74347992867923196, 'pval': 0.97220277972202784}, 'intensity': {'mean_p1': 20.331064549520637, 'mean_p2': 21.727972120379327, 'std_p1': 0.68169903586987035, 'std_p2': 0.78929822144669848, 'diff_p2p1': 1.3969075708586907, 'pval': 0.90870912908709134}, 'frequency': {'mean_p1': 0.27811550151975684, 'mean_p2': 0.270516717325228, 'std_p1': 0.02470293223886768, 'std_p2': 0.024491014602705648, 'diff_p2p1': -0.0075987841945288626, 'pval': 0.41354094826050114}}"
meiyu,"{'latitude': {'mean_p1': 29.603522256948533, 'mean_p2': 29.425436495359833, 'std_p1': 0.15324042374094593, 'std_p2': 0.15468194136991756, 'diff_p2p1': -0.17808576158870082, 'pval': 0.20647935206479351}, 'intensity': {'mean_p1': 28.112217478173744, 'mean_p2': 28.427510108081172, 'std_p1': 0.38017218509801204, 'std_p2': 0.38768789275939092, 'diff_p2p1': 0.31529262990742879, 'pval': 0.71922807719228077}, 'frequency': {'mean_p1': 0.6689655172413793, 'mean_p2': 0.6446428571428572, 'std_p1': 0.019539996734521007, 'std_p2': 0.020225445601552046, 'diff_p2p1': -0.02432266009852213, 'pval': 0.19355239012340619}}","{'latitude': {'mean_p1': 29.973480928572428, 'mean_p2': 28.877392062147226, 'std_p1': 0.21775203780554772, 'std_p2': 0.21637825218999859, 'diff_p2p1': -1.0960888664252018, 'pval': 0.00019998000199980003}, 'intensity': {'mean_p1': 27.093227884585314, 'mean_p2': 29.761792331577027, 'std_p1': 0.5166145345940093, 'std_p2': 0.58798814892235218, 'diff_p2p1': 2.6685644469917129, 'pval': 0.99960003999600044}, 'frequency': {'mean_p1': 0.6464285714285715, 'mean_p2': 0.6428571428571429, 'std_p1': 0.028570631366429143, 'std_p2': 0.02863513306204547, 'diff_p2p1': -0.0035714285714285587, 'pval': 0.4648226587215602}}"
post-meiyu,"{'latitude': {'mean_p1': 33.61262422043778, 'mean_p2': 32.917422822548154, 'std_p1': 0.12795190813838944, 'std_p2': 0.12894106791092808, 'diff_p2p1': -0.69520139788962609, 'pval': 0.00019998000199980003}, 'intensity': {'mean_p1': 23.491198109399697, 'mean_p2': 24.104733891951192, 'std_p1': 0.3496135160820642, 'std_p2': 0.38219513001233707, 'diff_p2p1': 0.61353578255149444, 'pval': 0.88121187881211882}, 'frequency': {'mean_p1': 0.273972602739726, 'mean_p2': 0.26467710371819964, 'std_p1': 0.013708332862889609, 'std_p2': 0.01379976794685441, 'diff_p2p1': -0.009295499021526377, 'pval': 0.31636551920392109}}","{'latitude': {'mean_p1': 32.793832276469693, 'mean_p2': 33.049672578861419, 'std_p1': 0.17860831097479535, 'std_p2': 0.18827379952196333, 'diff_p2p1': 0.25584030239172506, 'pval': 0.83671632836716325}, 'intensity': {'mean_p1': 24.356547378982384, 'mean_p2': 23.835277421752206, 'std_p1': 0.52210909480880663, 'std_p2': 0.57991371632373279, 'diff_p2p1': -0.52126995723017799, 'pval': 0.25437456254374563}, 'frequency': {'mean_p1': 0.27495107632093935, 'mean_p2': 0.25440313111545987, 'std_p1': 0.019751537974296855, 'std_p2': 0.01926649942227372, 'diff_p2p1': -0.02054794520547948, 'pval': 0.22822495884794014}}"
pre-meiyu,"{'latitude': {'mean_p1': 27.498463999419254, 'mean_p2': 27.355614431137642, 'std_p1': 0.1322754920285068, 'std_p2': 0.15371991248522671, 'diff_p2p1': -0.14284956828161199, 'pval': 0.23587641235876414}, 'intensity': {'mean_p1': 25.391960880546311, 'mean_p2': 25.754664202928247, 'std_p1': 0.35308342060824294, 'std_p2': 0.39382052138378909, 'diff_p2p1': 0.36270332238193603, 'pval': 0.75662433756624337}, 'frequency': {'mean_p1': 0.5913793103448276, 'mean_p2': 0.53125, 'std_p1': 0.0204117031018678, 'std_p2': 0.021087548691619624, 'diff_p2p1': -0.0601293103448276, 'pval': 0.020239960347693424}}","{'latitude': {'mean_p1': 27.492323704536485, 'mean_p2': 27.220608700086444, 'std_p1': 0.2265357968926385, 'std_p2': 0.20824168329319728, 'diff_p2p1': -0.27171500445004071, 'pval': 0.18858114188581143}, 'intensity': {'mean_p1': 25.090284526626625, 'mean_p2': 26.410765004758812, 'std_p1': 0.52101042149136478, 'std_p2': 0.59532929538548185, 'diff_p2p1': 1.3204804781321862, 'pval': 0.95140485951404863}, 'frequency': {'mean_p1': 0.5303571428571429, 'mean_p2': 0.5321428571428571, 'std_p1': 0.029825590874134476, 'std_p2': 0.029818907995640586, 'diff_p2p1': 0.0017857142857142794, 'pval': 0.51688639305220807}}"
spring,"{'latitude': {'mean_p1': 27.609162664139919, 'mean_p2': 27.331222013330947, 'std_p1': 0.10049422871842442, 'std_p2': 0.098898903396380758, 'diff_p2p1': -0.27794065080897212, 'pval': 0.025497450254974501}, 'intensity': {'mean_p1': 19.750929115280623, 'mean_p2': 20.579353447987636, 'std_p1': 0.24734727549296157, 'std_p2': 0.28808251924099115, 'diff_p2p1': 0.82842433270701221, 'pval': 0.98270172982701731}, 'frequency': {'mean_p1': 0.4652345958168457, 'mean_p2': 0.4771662763466042, 'std_p1': 0.016771377494929404, 'std_p2': 0.01709179723908424, 'diff_p2p1': 0.011931680529758515, 'pval': 0.69085505027330674}}","{'latitude': {'mean_p1': 27.178573857997449, 'mean_p2': 27.499795294284482, 'std_p1': 0.13569149183562942, 'std_p2': 0.14226222372180597, 'diff_p2p1': 0.3212214362870327, 'pval': 0.95050494950504949}, 'intensity': {'mean_p1': 20.568528302494315, 'mean_p2': 20.591307934359399, 'std_p1': 0.37958015396015277, 'std_p2': 0.42874529916955806, 'diff_p2p1': 0.022779631865084582, 'pval': 0.51414858514148587}, 'frequency': {'mean_p1': 0.49882903981264637, 'mean_p2': 0.45550351288056207, 'std_p1': 0.02419662957020953, 'std_p2': 0.02410068957558694, 'diff_p2p1': -0.0433255269320843, 'pval': 0.10228653368100676}}"
